id,service_id,name,price,concurrent_streams,quality,note,currency
1,1,광고형 스탠다드,7000,2,FHD,광고 포함,KRW
2,1,스탠다드,13500,2,FHD,,KRW
3,1,프리미엄,17000,4,4K+HDR,,KRW
4,2,스탠다드,9900,2,FHD,최대 5.1 사운드,KRW
5,2,프리미엄,13900,4,4K,Dolby Atmos,KRW
6,3,광고형 스탠다드,5500,2,고화질,광고 포함,KRW
7,3,베이직,9500,1,일반화질,,KRW
8,3,스탠다드,13500,2,고화질,,KRW
9,3,프리미엄,17000,4,고화질,Apple TV 지원,KRW
10,4,광고형 스탠다드,5500,2,FHD,광고 포함,KRW
11,4,베이직,7900,1,HD,TV 미지원,KRW
12,4,스탠다드,10900,2,FHD,,KRW
13,4,프리미엄,13900,4,최고화질,,KRW
14,5,베이직,7900,1,FHD,,KRW
15,5,프리미엄,12900,4,4K,,KRW
16,6,유튜브 프리미엄 라이트,8500,,,YouTube Music 앱 포함,KRW
17,6,유튜브 프리미엄,14900,,,YouTube Music 앱 제외,KRW
18,7,와우 멤버십,7890,,,쿠팡 와우 혜택과 쿠팡플레이 이용,KRW
19,6,Premium Lite,8500,,,대부분의 비음악 영상 광고 없이; 대상 영상 백그라운드·오프라인 재생,KRW
20,8,Apple TV,6500,,,Apple 오리지널 콘텐츠,KRW
21,9,스트리밍 플러스,11990,,,스트리밍 + 모바일 오프라인,KRW
22,9,Hi-Fi 스트리밍,13200,,고음질,FLAC 고음질 스트리밍,KRW
23,9,스트리밍,8690,,,모든 기기 스트리밍,KRW
24,9,모바일 스트리밍,7590,,,모바일 스트리밍,KRW
25,9,MP3 10 플러스,15950,,,MP3 월 10곡 + 스트리밍,KRW
26,9,MP3 30 플러스,28490,,,MP3 월 30곡 + 스트리밍,KRW
27,9,MP3 10,7260,,,MP3 10곡 다운로드,KRW
28,9,MP3 30,19800,,,MP3 30곡 다운로드,KRW
29,9,300회 듣기,5280,,,기간 내 300회 재생,KRW
30,9,익스트리밍 플러스,10700,,,PC·모바일 스트리밍; 데이터 제휴,KRW
31,9,익스트리밍,8300,,,모바일 스트리밍; 데이터 제휴,KRW
32,10,스마트 음악감상,8140,,,모바일 스트리밍,KRW
33,10,음악감상,9240,,,모든 기기 스트리밍,KRW
34,10,청소년 스마트 음악감상,3960,,,모바일 스트리밍,KRW
35,10,알뜰 음악감상,110,,,기본료 + 재생 건수 과금,KRW
36,10,라이프 플러스,12144,,,음악 및 제휴 혜택,KRW
37,10,데이터 세이프 음악감상,11990,,,음악감상 및 데이터 혜택,KRW
38,10,초고음질 모바일 음악감상,15400,,,모바일 고해상도 음원 감상,KRW
39,10,MP3 30곡,16500,,,매월 MP3 30곡,KRW
40,10,MP3 50곡,26400,,,매월 MP3 50곡,KRW
41,10,스마트 음악감상 12개월,97680,,,모바일 음악감상,KRW
42,10,스마트 음악감상 4개월,32560,,,모바일 음악감상,KRW
43,10,U+ 모바일 음악감상,7900,,,모바일 음악감상,KRW
44,10,U+ 음악감상,9600,,,모든 기기 음악감상,KRW
45,10,U+ 뮤직벨링,8800,,,음악감상 + 벨링,KRW
46,10,U+ V컬러링 뮤직플러스,8800,,,모바일 음악감상 + V컬러링,KRW
47,11,모바일 무제한 듣기,7700,,,모바일 전용 무제한 스트리밍,KRW
48,11,무제한 듣기,8800,,,모든 기기 무제한 스트리밍,KRW
49,11,무제한+오프라인 재생,12100,,,모든 기기 무제한 스트리밍 + 오프라인 재생,KRW
50,12,무제한 듣기,8690,,,모든 기기; FLAC 지원,KRW
51,12,모바일 무제한 듣기,7590,,,스마트폰·태블릿; FLAC 지원,KRW
52,12,Premium 무제한 듣기,13200,,,Premium FLAC 추가 지원,KRW
53,12,무제한 듣기 + 오프라인,11990,,,스트리밍·오프라인 재생,KRW
54,12,크루,13750,,,음악 + OTT 제휴,KRW
55,13,Premium Basic,8690,,,개인 광고 없는 스트리밍,KRW
56,13,Premium Individual,11990,,무손실,개인; 오프라인·무손실,KRW
57,13,Premium Student,6600,,무손실,학생 개인; 오프라인·무손실,KRW
58,13,Premium Duo,17985,,,2인 계정,KRW
59,14,개인,8900,,,음악 스트리밍·다운로드,KRW
60,14,가족,13500,,,가족 계정 음악 이용,KRW
61,15,Music Premium 개인,11990,,,음악 광고 제거·백그라운드·오프라인,KRW
62,16,Google AI Plus,7500,,,400GB; Gemini 비구독 대비 2배 한도; Flow 월 200크레딧,KRW
63,16,Google AI Pro,29000,,,"5TB; Gemini 비구독 대비 4배 한도; Flow 월 1,000크레딧",KRW
64,16,Google AI Ultra 5배,119000,,,"20TB; Pro 대비 5배; Flow 월 10,000크레딧",KRW
65,16,Google AI Ultra 20배,300000,,,"30TB; Pro 대비 20배; Flow 월 25,000크레딧",KRW
66,16,Google AI Pro 연간,174000,,,연간 요금제 존재 확인,KRW
67,17,리디셀렉트,4900,,,셀렉트 대상 도서 무제한,KRW
68,18,베이직,12500,,,전자책·오디오북·웹소설·클래스,KRW
69,18,패밀리,16900,,,베이직 콘텐츠와 가족 공유,KRW
70,19,스탠다드 55,5500,,,대상 eBook 무제한,KRW
71,19,프리미엄 77,7700,,,대상 eBook 무제한; 크레마머니 혜택,KRW
72,20,sam2,7000,,,매월 2권 선택,KRW
73,20,sam3,9900,,,매월 3권 선택,KRW
74,20,sam12,18000,,,매월 12권 선택,KRW
75,20,sam무제한,9900,,,무제한 대상 도서,KRW
76,20,과학,7900,,,과학 분야 대상 콘텐츠,KRW
77,20,Why,6900,,,Why 대상 콘텐츠,KRW
78,20,판타지,4900,,,판타지 대상 콘텐츠,KRW
79,20,세계문학,6900,,,세계문학 대상 콘텐츠,KRW
80,20,sam2 첫 이용,7000,,,매월 2권,KRW
81,20,sam무제한 첫 이용,9900,,,무제한 대상 도서,KRW
82,20,북모닝 CEO,282000,,,월별 종이책 및 디지털 독서 콘텐츠,KRW
83,20,북모닝 CEO 플래티넘,336000,,,월별 종이책 및 디지털 독서 콘텐츠,KRW
84,21,50GB,1100,,,50GB; HomeKit 카메라 1대,KRW
85,21,200GB,4400,,,200GB; HomeKit 카메라 5대,KRW
86,21,2TB,14000,,,2TB; HomeKit 카메라 수 무제한,KRW
87,21,6TB,44000,,,6TB; HomeKit 카메라 수 무제한,KRW
88,21,12TB,88000,,,12TB; HomeKit 카메라 수 무제한,KRW
89,22,Basic,2900,,,1인 100GB; 웹·모바일 앱; Outlook 광고 제거,KRW
90,23,Go,8,,,Free보다 확대된 사용량,USD
91,23,Plus,20,,,확대된 AI·도구 사용량,USD
92,23,Pro 5x,100,,,Plus 대비 5배 사용량,USD
93,23,Pro 20x,200,,,Plus 대비 20배 사용량,USD
94,24,Pro,20,,,확장 사용량; Claude Code 포함,USD
95,24,Max 5x,100,,,Pro 대비 5배 사용량,USD
96,24,Max 20x,200,,,Pro 대비 20배 사용량,USD
97,25,Pro,20,,,고급 검색·모델·파일 분석,USD
98,25,Max,200,,,확장 사용량; Model Council,USD
99,26,SuperGrok,30,,,확장 Grok 사용량,USD
100,26,SuperGrok Plus,100,,,더 높은 사용량·우선 처리,USD
101,27,Basic,10,,,Fast 약 3.3시간/월,USD
102,27,Standard,30,,,Fast 15시간/월; Relax 이미지,USD
